,Alpha,Delta,Mu,Buy,Sell,prob
0,0.012637729220716478,0.47927602407344705,0.053050413215604664,0.40872502490203394,0.5347751290609541,0.0007100801103691364
1,0.022592410454984557,0.8577900585641699,0.18179374243722582,0.19672395768120782,0.1935335023760929,0.010414623042751222
2,0.012870391046117995,0.5975781816228721,0.9029564819926159,0.289133655605756,0.2752828937656781,0.020174717607768497
3,0.013295945375292861,0.26994313925206476,0.22061021605294745,0.3582686283347726,0.21836054051344683,0.005061096840164237
4,0.010544180980485545,0.07108387191156648,3.4761803441136463,0.6906435998468723,0.5196238552835711,0.029395187612282738
5,0.012527097606381448,0.5346050055647177,1.6354213347511326,0.26179016516623743,0.3014925252109936,0.03509445612508153
6,0.012458842286928477,0.5244989320684096,0.5941705801063393,0.3201108365158376,0.22208529813063532,0.013469238624270836
7,0.010374602732990386,0.3838154848277433,2.076107779762411,0.5215669801146069,0.2987470790276197,0.025584985998073632
8,0.012210052922767684,0.48958731223426255,0.18850910817321126,0.4405314821353585,0.2962534634346016,0.0031142575525431836
9,0.01353067119747417,0.697277834045378,0.1106891037674686,0.2637344177356047,0.2704010054575967,0.00279612632104013
10,0.012309294021507418,0.38479479136483463,2.213605548260834,0.34812334101718245,0.18416767312142407,0.048697096490843784
11,0.013435105092517087,0.715860649627851,0.7778838483594286,0.43296557857499185,0.6899233215144345,0.009221374541896081
12,0.01311481748157262,0.7493359001917121,2.573533904040447,0.5841276844833496,0.5374669866411786,0.02921326126970592
13,0.01006945138992343,0.3360125426804874,2.6187840481548688,0.9447024152751194,0.6318483745144503,0.016451045784475475
14,0.019398628155281237,0.010000056389540568,5.661318668877815,1.5096307338814252,1.6146152576164179,0.033957796271557095
15,0.027542229725126193,0.010000236450205006,3.458483213185797,1.5969681143276917,1.445065598756727,0.030361999781935805
16,0.07614592298656077,0.9999999382175708,6.283590055834851,1.717796603343522,2.395259058803029,0.10420714686605237
17,0.09080081827317184,0.010000114744278588,3.1092387416677987,1.1318717267459062,2.272755907011664,0.07657318223939928
18,0.010377371675476477,0.6323168636575232,6.287169914870835,0.990766422362861,1.5966565420890289,0.024595734222899422
19,0.010492140496608161,0.010824370984820447,1.3895186387447964,0.8707129579846982,0.8446120536441247,0.008427649438074163
20,0.09380097826686398,0.260685212261333,6.219220977122868,1.375618144845461,1.8693178742911587,0.15238310610338762
21,0.010416724180456931,0.42180409219981435,0.09869307299294072,0.5743060038921759,0.6525212444188223,0.0008372798603954409
22,0.010402163206334837,0.5545154169548372,0.37064764954652607,0.6903043079379276,0.631806922481418,0.002907717928055553
23,0.013008539332117723,0.7259175818891633,3.9909945444377692,0.7705690025206476,0.757878580858198,0.032851286177469144
24,0.010489208909401188,0.0612859076084076,0.6727313906382228,0.5826950086011669,0.7106925390793976,0.005426162350062112
25,0.010397639674667912,0.42834478723338015,1.5848444852642638,0.4445016081324249,0.41627903592853227,0.018784231939073786
26,0.012668705383708768,0.5496774230254059,0.5375639497197289,0.2847112583250422,0.3156292809004575,0.011216718391430488
27,0.012246103686662492,0.4996561294382996,0.37567537109558696,0.444409023196219,0.3720047799385266,0.005603506779022722
28,0.012406974886430146,0.4577174542849472,1.813682127112495,0.2764070853109331,0.29412936420099156,0.037944077507813166
29,0.012596515592433785,0.5443406435104503,1.1121288686975461,0.2760350884238707,0.32914740808873383,0.022624583632606714
30,0.01422596423690616,0.7182611913749667,0.2988480783721218,0.31236559736631864,0.41164116629743436,0.00583776780707451
31,0.01961704910804313,0.010000346097414885,2.294293041449607,0.49116134307673853,0.6324753950084303,0.03851237790508623
32,0.012511539065679995,0.5780725435365333,0.5490423458848008,0.32590778993895747,0.4712053572242711,0.008544171866156993
33,0.012371016940061784,0.5497872327937001,1.4144113194259464,0.29411607149958324,0.3151580488421358,0.027917187158835184
34,0.016986552779970274,0.9999996737891864,3.656195636859384,0.4891525464119165,0.4145039780308421,0.06430788966027685
35,0.010526019807717535,0.07722324729977674,2.5303896596643667,0.539994859310009,0.5195119407563894,0.024522519391711756
36,0.010412835076185293,0.4592946455587639,1.4079290370839956,0.4183193835231239,0.4385540347680164,0.016821528114571185
37,0.010073091677232955,0.999131995317846,3.8559962316422505,1.6207930705515803,1.5737041437703405,0.012012907812550032
38,0.010431713012789435,0.9988862757073717,1.4156678614841214,0.7901222228124288,1.0376295618276101,0.008015024995179922
39,0.010074302445658984,0.8658893802716114,0.6105774161202142,1.1008994367111011,0.95322217675586,0.0029855957379847117
40,0.010363469683304625,0.4447128725105708,2.7847059053029035,0.6275054459669224,0.5616828073797875,0.023693013590291634
41,0.010422899733514361,0.41249205161518415,0.5099244487329366,0.4190386382958441,0.38226888278360427,0.006589069828184393
42,0.035985538691941224,0.5319575416766477,2.964194208663248,0.44318158485434805,0.48540458537114917,0.10303567523305432
43,0.012797997183242217,0.6603221969097778,0.9263811889868159,0.3117157551757129,0.45587917870985856,0.015210484728690942
44,0.012177363429860867,0.4514831418777164,2.1843073570542804,0.33755123643975793,0.24827291430063617,0.043432551426631154
45,0.012404946951500765,0.49151732894913214,1.7337439296318164,0.27870512250342006,0.19409211305031668,0.04350964418971302
46,0.01694951926206295,0.9999997439298085,15.251088317739558,0.7806780111856868,0.7086200871468792,0.14789970321271562
47,0.010408396591134534,0.32866306745520174,2.058532754352338,0.4063755063602822,0.3189866169581247,0.028690901620076228
48,0.0127151806401138,0.567462331593314,0.9955338984339659,0.2976923224146894,0.3152986583563769,0.02023240791967255
49,0.1,0.25,0.0,0.0,0.0,
50,0.013950088420207233,0.8162563414311113,0.1259683966798727,0.1457438988447942,0.17425294097948088,0.005461531699815893
51,0.03631845422093196,0.9090466018852019,0.05926636056337865,0.1446996702439403,0.188975415823669,0.006409428325589103
52,0.012694351964262714,0.5626381959933244,0.8864415109149403,0.2645974081030192,0.19372322913433657,0.023963877915802043
53,0.012361137763019064,0.4724136851424925,1.4055844949491747,0.3173950387065015,0.19717985025910287,0.03266216655881014
54,0.01234455748829168,0.4587900441529491,1.5742201718449667,0.3150108707535493,0.16643804828757136,0.03879766603106938
55,0.010719354452694884,0.04034804665498928,0.3586179305841366,0.5820241293603872,0.381692880688977,0.003973033291307578
56,0.012441220479220432,0.5941211287209801,1.5619522300059019,0.36072739085910954,0.30803665224445365,0.028236976291768436
57,0.05248354673995334,0.44908189493328593,1.4794266746908755e-08,0.6293220426502116,0.5613559256761667,6.521121667177365e-10
58,0.04374150072728466,0.010000116244691494,3.520695573629168,0.8584421233773669,0.9189132770664205,0.07973699064041413
59,0.010000134807878853,0.9999992220532541,3.199498082224272,0.6932202909667822,0.989092532842772,0.01866374521736706
60,0.03359846587284052,0.49446818658373637,5.0631896235921365,1.0490162406109782,1.389512372798441,0.06521219555266376
61,0.010525601407479766,0.8674639238717005,0.7646031454661845,0.8783176718513076,1.3546894656407364,0.0035911246180551286
62,0.013688758529046918,0.17215624614603908,4.678665083021502,0.833933887896094,0.9820510555720269,0.034066006667369274
63,0.039172202145748264,0.733371620328324,1.6419612418786023e-07,0.4764406699062093,0.7491525154273393,5.248008728712039e-09
64,0.012360262521390906,0.4855524796908511,2.0554191151989323,0.4047316014800492,0.4336559059370537,0.0294115824661904
65,0.018039497165872907,0.8601190096000331,1.5029974801626238,0.4082014415710869,0.6227177070441364,0.02562616896848469
66,0.05727947582820761,0.8743788050120291,0.08012409703864298,0.1676112361654308,0.34176536609139246,0.00892951220038922
67,0.012771624825515625,0.6279496467809792,0.8042524045955477,0.2893297015231232,0.33165388558764897,0.01627172342328114
68,0.014023720226828995,0.7485611238162838,0.2195323780000631,0.21745784152022213,0.36235377699838345,0.005281715547213415
69,0.015112265273895214,0.777395536378876,0.5318130304062321,0.20183479877200983,0.5061969554891019,0.011223643917900147
70,0.015127292124717112,0.23264486683779825,0.19753740197240166,0.3554585597295248,0.3153193449691669,0.004435079084285053
71,0.012321818943068007,0.5342319230350516,1.685089181653648,0.3388468414009782,0.2736596401713598,0.03278754539003059
72,0.043828735955250636,0.8084217791480828,0.17797202500327303,0.1801464155182071,0.28399816398343497,0.01652796632337859
73,0.017671130686260153,0.010000296356327076,2.2328932757523563,0.28277035816833473,0.3028566072371755,0.06312384222852396
74,0.014786933136633271,0.23180230832978255,1.0684816419913523,0.2579527216412044,0.2783727816639807,0.0286159195789119
75,0.039167234706828355,0.7691188873879415,0.14745687560941334,0.15839316883664498,0.21600566923043438,0.015191657645430573
76,0.018583293817649452,0.3595248390928354,0.4925026908160798,0.22013576434742324,0.40456278427082937,0.014439235837078273
77,0.01992741811555284,0.8328793169289045,0.22299083745549453,0.10280851205592821,0.1288366163003156,0.01882186874852387
78,0.08821085212407953,0.45807379956724936,0.03118650564327241,0.10144526424774544,0.28384961297472217,0.007089337839752898
79,0.015088852225008966,0.6874845841794792,0.19735139293199355,0.12232150740603619,0.1462007643285894,0.010967974776100923
80,0.01409429186331354,0.8140356372530682,0.22056850970837882,0.21009711921215302,0.3051414224312424,0.0059974402492535646
81,0.01454092957444998,0.6922813123751348,0.08731747699797456,0.12414325760100736,0.2241804912303754,0.0036318683041495006
82,0.04680496793638722,0.6886119239188082,0.02832194043924874,0.16170884437137667,0.17907616018624153,0.003874792150198481
83,0.017781482944891312,0.010000010767401573,2.9867903343468014,0.17621850190735808,0.19829902729119397,0.12419597017821993
84,0.010394624712097041,0.2901724737742155,2.5190232628805895,0.4676382744172622,0.2610548082226251,0.034686827305011304
85,0.013811602865897991,0.7945446496548166,1.1075661387049858,0.21743263882049205,0.2723251734239477,0.030288307920183596
86,0.01728048699719198,0.9999997402363127,8.742342399967544,0.5918644073603766,0.6279112233559626,0.11020330636136427
87,0.012828806745529407,0.6437205009200172,1.0817122084286444,0.24820584349250366,0.29163977253907253,0.025061419829730352
88,0.012721611205783072,0.6711004232899749,0.7798160383350645,0.18497806730087665,0.17763565520022226,0.02662981120773922
89,0.012269921738317133,0.41317990552860484,2.0631374608102404,0.4060278012266307,0.3090598458872341,0.034190249279277066
90,0.019142413336880923,0.8086697043980515,0.06868212348147043,0.16705770437829215,0.21549358089176868,0.0034250011840560837
91,0.012776909582995299,0.6097353970678061,0.6219168712596786,0.19009469781606345,0.15844236749705584,0.022290460587016933
92,0.47429452112545506,0.5069550285520612,-7.547261360966335e-09,0.15593220404393615,0.21559322275195283,-9.63493879374302e-09
93,0.014508644242023652,0.2161659781522832,1.1274437740032517,0.29210202994459905,0.17735438418316152,0.033670658790569276
94,0.010400404316140529,0.40318061302199254,2.922621259538014,0.5106000055882073,0.37534310594987264,0.033171593018655555
95,0.012812795258593619,0.6487005927791788,0.6873496977978758,0.17844601771375518,0.15868917599530805,0.025457646954980172
