,Alpha,Delta,Mu,Buy,Sell
0,0.02662903884027394,0.7756115717083294,4.98694868593426,0.7249812557240937,0.731765480979388
1,0.0007569734227353868,1.0,14.585858457942232,0.5140216953689873,0.5302234842676409
2,0.11317048780642132,0.2808123983668068,1.962195512690448e-06,0.43661526370204085,0.5108062188192362
3,0.08619209071618497,0.27267879818813245,-1.950734695691509e-05,0.24954492180190524,0.2651465943982413
4,0.08068371991435765,0.08777705478127527,3.576016030837879e-06,0.3089216322897216,0.2644221408433276
5,0.0,0.6397921304507079,-0.11450334522109289,0.7073004641977296,0.5527126843540352
6,0.05441272159161569,0.2959128687226612,5.383222265290538,0.9021980916319822,0.9885802525326899
7,0.03699991662136789,0.8786631658948463,4.616566902457589,0.6425225034568179,0.6008388062313091
8,0.07417644770962738,0.5166414053605689,-1.4665664782901439e-05,0.39515232732859057,0.4326367225293877
9,0.018711783489419213,0.8080861557797023,7.281781917826852,0.5410647419361482,0.5798442960731721
10,0.01711919013962161,0.2200622738488073,3.6801225797735166,0.4849851231284629,0.4999565582766532
11,0.021402414505349947,0.3621560020139778,5.661906199370822,0.6438809809450236,0.6623305475541952
12,0.03543757183454872,0.8734620712176145,4.3904977234314275,2.1640558608299454,2.37699039898752
13,6.172384446530472e-10,0.7597183758387769,-1.5314187980669822,1.7063736827925209,1.930815124596959
14,0.05116961268419235,0.32894925459494445,7.396910540447577,1.818514662125387,1.8063297583945608
15,0.07422058233130578,0.2153504413322867,-6.044664440462994e-05,1.091978014582007,1.0064024127472952
16,0.09048713183207886,0.2612521942078518,1.5583643425812026e-05,0.7857163822285425,0.8118213617320691
17,0.10870456872612624,0.9999999999308626,12.574898400122681,4.1209924361851336e-11,1.2294878922832158
18,0.02566457853831008,0.41187649668129456,7.126605361737752,1.1538388249965932,1.1013574185127175
19,0.08453321077979983,1.0,7.677608880236582e-05,1.2105226668525804,1.0681403033656096
20,0.009464178844403906,0.6922283044481028,5.679189233308904,0.9900702960932266,0.9148693699485196
21,0.12386559396217624,0.1870944667090371,3.680756805501907e-05,0.9429340386767224,0.9714151434618142
22,0.0134068631652535,0.6287582511543164,5.206017083898519,0.7039424637875967,0.7274143021520421
23,0.08670374894913177,0.2698012562033384,8.956808229174194e-06,0.6634570075369285,0.7321076248725438
24,0.12324721628469759,0.44000022017669066,6.852040548920024e-06,0.43927231245562604,0.40692875771830983
25,0.004130375389748116,0.34992602444067006,7.743259637631664,0.39018737276969057,0.4081177360470218
26,0.011062556607528183,0.5333120887692454,5.271710868951429,0.4552153403125556,0.4573886366924735
27,0.16593867105432428,0.4940260751604879,8.524092948835628e-06,0.5036349877034113,0.5705893703500073
28,0.12911756532921428,0.6862060276373523,2.9492945535796247e-05,0.5376922837379654,0.6095641691806539
